connectionpool.py in 818 Lines: Dummy-48-3028, 2019-01-19 19:43:18 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 395 Lines: Dummy-41-18740, 2019-01-19 19:43:18 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:18 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:18 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-49-21640, 2019-01-19 19:43:18 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:18 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:18 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:18 - root - INFO:To:人脸识别失败：##SC500021

connectionpool.py in 395 Lines: Dummy-42-8700, 2019-01-19 19:43:18 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:18 - root - INFO:To:人脸识别失败：##SC500021

main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:18 - root - INFO:To:人脸识别失败：##SC500021

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:18 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 395 Lines: Dummy-40-22504, 2019-01-19 19:43:18 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 200 None
connectionpool.py in 395 Lines: Dummy-43-5732, 2019-01-19 19:43:18 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 500 None
main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:18 - root - INFO:To:人脸识别失败：##SC500021

main.py in 244 Lines: MainThread-23116, 2019-01-19 19:43:18 - root - INFO:To:人脸识别失败：##SC500021

main.py in 273 Lines: MainThread-23116, 2019-01-19 19:43:19 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-50-4256, 2019-01-19 19:43:19 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
main.py in 278 Lines: MainThread-12184, 2019-01-19 19:50:41 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-8-23472, 2019-01-19 19:50:42 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 395 Lines: Dummy-8-23472, 2019-01-19 19:50:46 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 200 None
main.py in 254 Lines: MainThread-12184, 2019-01-19 19:50:46 - root - INFO:To:人脸识别成功：##SC500011

main.py in 278 Lines: MainThread-20848, 2019-01-19 19:53:47 - root - INFO:To:正在准备人脸识别：##SC500001

main.py in 278 Lines: MainThread-20848, 2019-01-19 19:53:47 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-8-21256, 2019-01-19 19:53:48 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 818 Lines: Dummy-9-8700, 2019-01-19 19:53:48 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 395 Lines: Dummy-8-21256, 2019-01-19 19:53:52 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 200 None
main.py in 254 Lines: MainThread-20848, 2019-01-19 19:53:52 - root - INFO:To:人脸识别成功：##SC500011

connectionpool.py in 395 Lines: Dummy-9-8700, 2019-01-19 19:53:53 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 200 None
main.py in 254 Lines: MainThread-20848, 2019-01-19 19:53:53 - root - INFO:To:人脸识别成功：##SC500011

main.py in 278 Lines: MainThread-17588, 2019-01-19 19:55:03 - root - INFO:To:正在准备人脸识别：##SC500001

connectionpool.py in 818 Lines: Dummy-8-23448, 2019-01-19 19:55:04 - requests.packages.urllib3.connectionpool - DEBUG:Starting new HTTPS connection (1): api.mybcfuture.com
connectionpool.py in 395 Lines: Dummy-8-23448, 2019-01-19 19:55:13 - requests.packages.urllib3.connectionpool - DEBUG:https://api.mybcfuture.com:443 "POST /ns/face HTTP/1.1" 200 None
main.py in 254 Lines: MainThread-17588, 2019-01-19 19:55:13 - root - INFO:To:人脸识别成功：##SC500011

